productCode,productNAme,productLine,quantityInStock,warehousecode
S18_3140,"1903 Ford Model A","Vintage Cars",3913,c
S18_3232,"1992 Ferrari 360 Spider red","Classic Cars",8347,b
S18_3233,"1985 Toyota Supra","Classic Cars",7733,b
S18_3259,"Collectable Wooden Train",Trains,6450,d
S18_3278,"1969 Dodge Super Bee","Classic Cars",1917,b
S18_3320,"1917 Maxwell Touring Car","Vintage Cars",7913,c
S18_3482,"1976 Ford Gran Torino","Classic Cars",9127,b
S18_3685,"1948 Porsche Type 356 Roadster","Classic Cars",8990,b
S18_3782,"1957 Vespa GS150",Motorcycles,7689,a
S18_3856,"1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars",2378,c
S18_4027,"1970 Triumph Spitfire","Classic Cars",5545,b
S18_4409,"1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars",6553,c
S18_4522,"1904 Buick Runabout","Vintage Cars",8290,c
S18_4600,"1940s Ford truck","Trucks and Buses",3128,d
S18_4668,"1939 Cadillac Limousine","Vintage Cars",6645,c
S18_4721,"1957 Corvette Convertible","Classic Cars",1249,b
S18_4933,"1957 Ford Thunderbird","Classic Cars",3209,b
S24_1046,"1970 Chevy Chevelle SS 454","Classic Cars",1005,b
S24_1444,"1970 Dodge Coronet","Classic Cars",4074,b
S24_1578,"1997 BMW R 1100 S",Motorcycles,7003,a
S24_1628,"1966 Shelby Cobra 427 S/C","Classic Cars",8197,b
S24_1785,"1928 British Royal Navy Airplane",Planes,3627,a
S24_1937,"1939 Chevrolet Deluxe Coupe","Vintage Cars",7332,c
S24_2000,"1960 BSA Gold Star DBD34",Motorcycles,15,a
S24_2011,"18th century schooner",Ships,1898,d
S24_2022,"1938 Cadillac V-16 Presidential Limousine","Vintage Cars",2847,c
S24_2300,"1962 Volkswagen Microbus","Trucks and Buses",2327,d
S24_2360,"1982 Ducati 900 Monster",Motorcycles,6840,a
S24_2766,"1949 Jaguar XK 120","Classic Cars",2350,b
S24_2840,"1958 Chevy Corvette Limited Edition","Classic Cars",2542,b
S24_2841,"1900s Vintage Bi-Plane",Planes,5942,a
S24_2887,"1952 Citroen-15CV","Classic Cars",1452,b
S24_2972,"1982 Lamborghini Diablo","Classic Cars",7723,b
S24_3151,"1912 Ford Model T Delivery Wagon","Vintage Cars",9173,c
S24_3191,"1969 Chevrolet Camaro Z28","Classic Cars",4695,b
S24_3371,"1971 Alpine Renault 1600s","Classic Cars",7995,b
S24_3420,"1937 Horch 930V Limousine","Vintage Cars",2902,c
S24_3432,"2002 Chevy Corvette","Classic Cars",9446,b
S24_3816,"1940 Ford Delivery Sedan","Vintage Cars",6621,c
S24_3856,"1956 Porsche 356A Coupe","Classic Cars",6600,b
S24_3949,"Corsair F4U ( Bird Cage)",Planes,6812,a
S24_3969,"1936 Mercedes Benz 500k Roadster","Vintage Cars",2081,c
S24_4048,"1992 Porsche Cayenne Turbo Silver","Classic Cars",6582,b
S24_4258,"1936 Chrysler Airflow","Vintage Cars",4710,c
S24_4278,"1900s Vintage Tri-Plane",Planes,2756,a
S24_4620,"1961 Chevrolet Impala","Classic Cars",7869,b
S32_1268,"1980’s GM Manhattan Express","Trucks and Buses",5099,d
S32_1374,"1997 BMW F650 ST",Motorcycles,178,a
S32_2206,"1982 Ducati 996 R",Motorcycles,9241,a
S32_2509,"1954 Greyhound Scenicruiser","Trucks and Buses",2874,d
S32_3207,"1950's Chicago Surface Lines Streetcar",Trains,8601,d
S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses",814,d
S32_4289,"1928 Ford Phaeton Deluxe","Vintage Cars",136,c
S32_4485,"1974 Ducati 350 Mk3 Desmo",Motorcycles,3341,a
S50_1341,"1930 Buick Marquette Phaeton","Vintage Cars",7062,c
S50_1392,"Diamond T620 Semi-Skirted Tanker","Trucks and Buses",1016,d
S50_1514,"1962 City of Detroit Streetcar",Trains,1645,d
S50_4713,"2002 Yamaha YZR M1",Motorcycles,600,a
S700_1138,"The Schooner Bluenose",Ships,1897,d
S700_1691,"American Airlines: B767-300",Planes,5841,a
S700_1938,"The Mayflower",Ships,737,d
S700_2047,"HMS Bounty",Ships,3501,d
S700_2466,"America West Airlines B757-200",Planes,9653,a
S700_2610,"The USS Constitution Ship",Ships,7083,d
S700_2824,"1982 Camaro Z28","Classic Cars",6934,b
S700_2834,"ATA: B757-300",Planes,7106,a
S700_3167,"F/A 18 Hornet 1/72",Planes,551,a
S700_3505,"The Titanic",Ships,1956,d
S700_3962,"The Queen Mary",Ships,5088,d
S700_4002,"American Airlines: MD-11S",Planes,8820,a
S72_1253,"Boeing X-32A JSF",Planes,4857,a
S72_3212,"Pont Yacht",Ships,414,d
